rollout/episode_steps,reference_perturbed_action_std,total/steps,reference_action_std,train/param_noise_distance,rollout/episodes,train/loss_actor,reference_actor_Q_mean,rollout/Q_mean,rollout/actions_std,reference_Q_mean,rollout/return,reference_perturbed_action_mean,obs_rms_std,reference_actor_Q_std,rollout/return_history,reference_action_mean,param_noise_stddev,total/episodes,total/duration,obs_rms_mean,total/epochs,reference_Q_std,rollout/actions_mean,train/loss_critic,total/steps_per_second
114.51273885350318,0.7999622821807861,36000,0.7997933030128479,0.22063808143138885,314.0,-150.8466339111328,136.60096740722656,220.44882202148438,0.1648288071155548,136.25302124023438,180.82767840100968,-0.19691935181617737,2098600.0,75.06563568115234,180.82767840100968,-0.19189809262752533,0.010310046129879225,314.0,23434.64712548256,-3113.453125,36,74.97720336914062,-0.06042296811938286,298.83843994140625,1.5361869887451398
114.72981366459628,0.7937003374099731,37000,0.7997862100601196,0.23541051149368286,322.0,-150.2516632080078,135.72683715820312,221.478271484375,0.16489088535308838,135.36810302734375,199.92001868463984,-0.13073910772800446,2097761.25,75.0400161743164,199.92001868463984,-0.19213657081127167,0.010728675346037303,322.0,24040.59804558754,-3110.97021484375,37,74.9560317993164,-0.05958399921655655,288.0893249511719,1.5390632100681478
114.9121212121212,0.79852694272995,38000,0.7997845411300659,0.18202327191829681,330.0,-150.25474548339844,134.90419006347656,221.74192810058594,0.1642478108406067,134.53623962402344,196.73679440548432,-0.17045962810516357,2096922.75,75.00639343261719,196.73679440548432,-0.19230854511260986,0.010728675346037303,330.0,24658.798919439316,-3108.4921875,38,74.92671203613281,-0.059849437326192856,299.029296875,1.5410320723303108
115.28402366863905,0.7964215874671936,39000,0.799771249294281,0.22548995167016983,338.0,-149.8982391357422,134.12313842773438,222.156494140625,0.1641090363264084,133.74227905273438,217.3172922808663,-0.1665695309638977,2096085.625,74.97486114501953,217.3172922808663,-0.19254140555858612,0.010944321720492653,338.0,25390.808500766754,-3106.01708984375,39,74.89973449707031,-0.05980157107114792,307.0111389160156,1.5359888992436879
115.43352601156069,0.7959837317466736,40000,0.7997725009918213,0.21276672929525375,346.0,-149.74246215820312,133.28240966796875,223.203125,0.16377218067646027,132.890869140625,215.66875377966124,-0.23187069594860077,2095249.375,74.94776153564453,215.66875377966124,-0.19276343286037445,0.010944321720492653,346.0,26034.81541967392,-3103.54638671875,40,74.87742614746094,-0.05901756510138512,312.00244140625,1.5364042093332033
115.77401129943503,0.7897347807884216,41000,0.7997705936431885,0.21328656375408173,354.0,-149.22097778320312,132.50469970703125,223.71365356445312,0.1632595956325531,132.10299682617188,206.9710468873472,-0.21784500777721405,2094414.125,74.91719055175781,206.9710468873472,-0.1929417997598648,0.010310046129879225,354.0,26636.843386888504,-3101.07958984375,41,74.85142517089844,-0.05937020108103752,316.33251953125,1.5392214236684478
115.76519337016575,0.7989396452903748,42000,0.7997574210166931,0.2306930273771286,362.0,-148.79025268554688,131.74557495117188,224.15826416015625,0.1631574034690857,131.33279418945312,211.05574767661784,-0.18132402002811432,2093580.125,74.89458465576172,211.05574767661784,-0.19317369163036346,0.010517278057089798,362.0,27378.781287908554,-3098.6162109375,42,74.83349609375,-0.05881015211343765,311.6344909667969,1.5340346802999847
116.1891891891892,0.7993718385696411,43000,0.7997562289237976,0.19309094548225403,370.0,-148.50094604492188,131.02200317382812,224.583251953125,0.1628384292125702,130.59945678710938,219.0087953979843,-0.21369893848896027,2092746.75,74.86135864257812,219.0087953979843,-0.19332580268383026,0.010517278057089798,370.0,28075.145098924637,-3096.157470703125,43,74.80496978759766,-0.059877630323171616,323.3505554199219,1.531603838501516
116.3994708994709,0.7982900142669678,44000,0.7997496128082275,0.23175453394651413,378.0,-147.9862823486328,130.35955810546875,225.25372314453125,0.1630670577287674,129.92507934570312,212.55460574194322,-0.19742129743099213,2091914.5,74.81875610351562,212.55460574194322,-0.1935420036315918,0.010728675346037303,378.0,28715.300399780273,-3093.702392578125,44,74.7676010131836,-0.059233758598566055,316.5637512207031,1.532284161663748
116.62597402597403,0.7955453395843506,45000,0.7997550368309021,0.15970409661531448,385.0,-148.49951171875,129.68203735351562,225.5274200439453,0.16257557272911072,129.2388916015625,169.55139738465476,-0.18427518010139465,2091083.375,74.7810287475586,169.55139738465476,-0.19367684423923492,0.010728675346037303,385.0,29424.26167178154,-3091.250244140625,45,74.73454284667969,-0.05944143980741501,332.7322082519531,1.5293501839387156
116.89058524173028,0.8093641996383667,46000,0.7997629642486572,0.1824588030576706,393.0,-147.96377563476562,128.9879913330078,225.69163513183594,0.16252632439136505,128.53564453125,190.8037835080003,-0.1807478815317154,2090253.375,74.7411117553711,190.8037835080003,-0.193841353058815,0.010728675346037303,393.0,30013.113938093185,-3088.802978515625,46,74.69927215576172,-0.0599156953394413,326.9916076660156,1.5326633582534057
117.01496259351622,0.8027265667915344,47000,0.7997594475746155,0.189546138048172,401.0,-147.69354248046875,128.3111572265625,225.83169555664062,0.16225717961788177,127.8477554321289,203.26381014085203,-0.1618819683790207,2089424.25,74.72211456298828,203.26381014085203,-0.19403214752674103,0.010728675346037303,401.0,30685.46760702133,-3086.359619140625,47,74.68464660644531,-0.059970252215862274,313.4856262207031,1.5316696685842792
117.25427872860635,0.7938924431800842,48000,0.7997602224349976,0.18624773621559143,409.0,-147.99668884277344,127.68708801269531,226.32846069335938,0.16218407452106476,127.212890625,208.26684013472203,-0.14385348558425903,2088595.875,74.69145202636719,208.26684013472203,-0.19420965015888214,0.011164302587074557,409.0,31353.7796523571,-3083.920166015625,48,74.65798950195312,-0.05948597565293312,319.8016052246094,1.5309159065417963
117.72836538461539,0.804439127445221,49000,0.7997564673423767,0.19765254855155945,416.0,-147.49864196777344,127.13394165039062,227.01809692382812,0.16226842999458313,126.64839172363281,237.07206393585778,-0.15103726089000702,2087768.5,74.64610290527344,237.07206393585778,-0.19437851011753082,0.010728675346037303,416.0,32016.984266281128,-3081.483642578125,49,74.61736297607422,-0.059197064489126205,328.5672912597656,1.5304377074515614
