Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.03834342956543	0	7.88801261829653	4.446855638807716	38.0	3.0	7.88801261829653	4.446855638807716	5001	5001
6.553884506225586	1	8.500848896434634	4.542807067614515	32.0	3.0	8.500848896434634	4.542807067614515	5007	10008
9.025563955307007	2	11.165178571428571	6.9692847786021135	41.0	3.0	11.165178571428571	6.9692847786021135	5002	15010
11.612059116363525	3	13.316489361702128	8.707928914115634	50.0	3.0	13.316489361702128	8.707928914115634	5007	20017
13.83191466331482	4	15.863924050632912	10.581980853273258	63.0	3.0	15.863924050632912	10.581980853273258	5013	25030
16.012635946273804	5	18.90943396226415	12.060199068273864	74.0	3.0	18.90943396226415	12.060199068273864	5011	30041
18.179713010787964	6	23.77251184834123	14.871500236460173	103.0	5.0	23.77251184834123	14.871500236460173	5016	35057
20.783641576766968	7	27.63186813186813	15.980127625512436	90.0	5.0	27.63186813186813	15.980127625512436	5029	40086
22.917316675186157	8	34.55172413793103	19.92881505361374	115.0	4.0	34.55172413793103	19.92881505361374	5010	45096
25.05399179458618	9	40.192	19.74869960275866	104.0	8.0	40.192	19.74869960275866	5024	50120
27.17625665664673	10	49.27450980392157	24.244326954270974	176.0	16.0	49.27450980392157	24.244326954270974	5026	55146
29.296871185302734	11	50.6	25.371243564319034	156.0	13.0	50.6	25.371243564319034	5060	60206
31.71531391143799	12	49.38235294117647	19.02889655938014	119.0	15.0	49.38235294117647	19.02889655938014	5037	65243
33.85690379142761	13	58.96511627906977	22.925281908143997	133.0	14.0	58.96511627906977	22.925281908143997	5071	70314
35.985015869140625	14	61.68292682926829	23.7028752237507	140.0	16.0	61.68292682926829	23.7028752237507	5058	75372
38.20400381088257	15	74.51470588235294	35.10802348678702	225.0	18.0	74.51470588235294	35.10802348678702	5067	80439
40.32689905166626	16	74.1029411764706	34.69070892136867	212.0	26.0	74.1029411764706	34.69070892136867	5039	85478
42.84705185890198	17	94.4074074074074	54.61905735740775	295.0	23.0	94.4074074074074	54.61905735740775	5098	90576
45.458404302597046	18	87.87719298245614	42.8252549589152	250.0	33.0	87.87719298245614	42.8252549589152	5009	95585
47.96801257133484	19	111.28888888888889	54.45227154621935	272.0	36.0	111.28888888888889	54.45227154621935	5008	100593
50.5312077999115	20	114.88636363636364	58.26554256516644	295.0	40.0	114.88636363636364	58.26554256516644	5055	105648
53.1890184879303	21	142.22222222222223	70.89237191025371	307.0	36.0	142.22222222222223	70.89237191025371	5120	110768
55.30705738067627	22	113.46666666666667	61.04373659744116	308.0	31.0	113.46666666666667	61.04373659744116	5106	115874
57.3828821182251	23	131.71052631578948	70.08863106799953	299.0	46.0	131.71052631578948	70.08863106799953	5005	120879
59.48591327667236	24	134.05263157894737	58.736677041835605	276.0	13.0	134.05263157894737	58.736677041835605	5094	125973
61.55574369430542	25	166.90625	79.46672234927964	375.0	27.0	166.90625	79.46672234927964	5341	131314
