Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.660080671310425	0	7.67638036809816	4.352686966780431	38.0	3.0	7.67638036809816	4.352686966780431	5005	5005
8.847863912582397	1	9.06159420289855	5.395567457010875	39.0	3.0	9.06159420289855	5.395567457010875	5002	10007
11.172596216201782	2	11.36590909090909	6.967145077949079	42.0	3.0	11.36590909090909	6.967145077949079	5001	15008
13.39377236366272	3	13.605978260869565	9.112203184142276	66.0	3.0	13.605978260869565	9.112203184142276	5007	20015
15.66693639755249	4	16.88888888888889	10.475453644996115	63.0	4.0	16.88888888888889	10.475453644996115	5016	25031
17.85684084892273	5	19.806324110671937	12.634026125194866	61.0	4.0	19.806324110671937	12.634026125194866	5011	30042
20.103197813034058	6	22.554054054054053	12.48762474824312	64.0	4.0	22.554054054054053	12.48762474824312	5007	35049
22.31445336341858	7	27.05945945945946	16.113171705487364	96.0	6.0	27.05945945945946	16.113171705487364	5006	40055
24.471802711486816	8	36.2536231884058	21.29300817210742	118.0	7.0	36.2536231884058	21.29300817210742	5003	45058
26.623019695281982	9	41.84166666666667	18.607792199924084	107.0	10.0	41.84166666666667	18.607792199924084	5021	50079
28.809977769851685	10	48.17307692307692	20.839792884182447	108.0	10.0	48.17307692307692	20.839792884182447	5010	55089
30.942907333374023	11	49.603960396039604	22.478187097858942	127.0	13.0	49.603960396039604	22.478187097858942	5010	60099
33.190462589263916	12	49.300970873786405	18.547674049584685	95.0	12.0	49.300970873786405	18.547674049584685	5078	65177
35.552916288375854	13	57.40909090909091	24.213837311656572	123.0	15.0	57.40909090909091	24.213837311656572	5052	70229
38.4769287109375	14	59.258823529411764	22.58794730208567	154.0	22.0	59.258823529411764	22.58794730208567	5037	75266
40.733819246292114	15	72.07142857142857	24.675216848704945	170.0	33.0	72.07142857142857	24.675216848704945	5045	80311
42.89760375022888	16	79.47619047619048	37.650800342621	191.0	31.0	79.47619047619048	37.650800342621	5007	85318
45.03427028656006	17	77.73846153846154	32.86675988480525	195.0	25.0	77.73846153846154	32.86675988480525	5053	90371
47.21394348144531	18	107.08333333333333	50.90548158652028	253.0	33.0	107.08333333333333	50.90548158652028	5140	95511
49.46738314628601	19	124.8048780487805	67.55060235589069	291.0	37.0	124.8048780487805	67.55060235589069	5117	100628
51.74317193031311	20	111.27659574468085	63.59034522183634	310.0	40.0	111.27659574468085	63.59034522183634	5230	105858
54.02418255805969	21	139.52777777777777	56.66151256516931	288.0	33.0	139.52777777777777	56.66151256516931	5023	110881
58.76715683937073	22	113.6086956521739	58.84189510916356	330.0	30.0	113.6086956521739	58.84189510916356	5226	116107
60.902508020401	23	129.66666666666666	71.85824126435908	444.0	41.0	129.66666666666666	71.85824126435908	5057	121164
62.98422431945801	24	147.41176470588235	60.25442021718691	366.0	43.0	147.41176470588235	60.25442021718691	5012	126176
65.45038676261902	25	140.38888888888889	58.42672418307766	316.0	26.0	140.38888888888889	58.42672418307766	5054	131230
68.08807897567749	26	142.94444444444446	48.35571001813565	260.0	56.0	142.94444444444446	48.35571001813565	5146	136376
70.26474642753601	27	177.86206896551724	91.00917882390841	400.0	34.0	177.86206896551724	91.00917882390841	5158	141534
72.38891839981079	28	167.63333333333333	66.44671215007973	315.0	36.0	167.63333333333333	66.44671215007973	5029	146563
74.59211087226868	29	201.19230769230768	79.97740990226275	352.0	56.0	201.19230769230768	79.97740990226275	5231	151794
93.02520298957825	30	239.23809523809524	86.87369307651676	410.0	60.0	239.23809523809524	86.87369307651676	5024	156818
95.13339757919312	31	174.75862068965517	83.85811299653054	509.0	34.0	174.75862068965517	83.85811299653054	5068	161886
97.31866836547852	32	227.30434782608697	92.40903154741527	408.0	53.0	227.30434782608697	92.40903154741527	5228	167114
99.63107085227966	33	346.26666666666665	145.80556307021425	633.0	122.0	346.26666666666665	145.80556307021425	5194	172308
101.93234038352966	34	242.14285714285714	88.05046481275097	415.0	83.0	242.14285714285714	88.05046481275097	5085	177393
104.09984970092773	35	252.25	83.3851755409797	409.0	141.0	252.25	83.3851755409797	5045	182438
106.31863379478455	36	350.1333333333333	130.436123149311	664.0	211.0	350.1333333333333	130.436123149311	5252	187690
108.40652680397034	37	502.1	296.748192917834	1000.0	107.0	502.1	296.748192917834	5021	192711
110.59136652946472	38	582.6666666666666	267.3075631801939	1000.0	247.0	582.6666666666666	267.3075631801939	5244	197955
112.98662972450256	39	724.25	291.0741958676516	1000.0	167.0	724.25	291.0741958676516	5794	203749
115.28873586654663	40	796.0	252.17850820401011	1000.0	349.0	796.0	252.17850820401011	5572	209321
117.7913498878479	41	851.8571428571429	220.23262284063486	1000.0	484.0	851.8571428571429	220.23262284063486	5963	215284
119.88594031333923	42	725.1428571428571	339.34492716384716	1000.0	159.0	725.1428571428571	339.34492716384716	5076	220360
122.07715487480164	43	590.3333333333334	310.8064778389708	1000.0	62.0	590.3333333333334	310.8064778389708	5313	225673
124.64216661453247	44	643.875	268.8635515926248	1000.0	125.0	643.875	268.8635515926248	5151	230824
126.9214837551117	45	784.0	226.63438145423314	1000.0	449.0	784.0	226.63438145423314	5488	236312
129.30755233764648	46	638.5555555555555	348.4072046426617	1000.0	207.0	638.5555555555555	348.4072046426617	5747	242059
131.4251320362091	47	281.6666666666667	122.75359238916165	461.0	101.0	281.6666666666667	122.75359238916165	5070	247129
133.52790236473083	48	843.8333333333334	223.08325550988556	1000.0	477.0	843.8333333333334	223.08325550988556	5063	252192
136.013658285141	49	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	258192
138.32325863838196	50	931.6666666666666	152.79797846248562	1000.0	590.0	931.6666666666666	152.79797846248562	5590	263782
140.8215205669403	51	930.1666666666666	156.1520804287353	1000.0	581.0	930.1666666666666	156.1520804287353	5581	269363
143.21558380126953	52	948.8333333333334	114.41214484873927	1000.0	693.0	948.8333333333334	114.41214484873927	5693	275056
145.46994996070862	53	914.8333333333334	190.4384560837321	1000.0	489.0	914.8333333333334	190.4384560837321	5489	280545
148.03057861328125	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	286545
150.5333387851715	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	292545
152.82108879089355	56	909.1666666666666	203.10950795623089	1000.0	455.0	909.1666666666666	203.10950795623089	5455	298000
155.42647123336792	57	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	304000
157.90939235687256	58	974.1666666666666	57.765089418744566	1000.0	845.0	974.1666666666666	57.765089418744566	5845	309845
160.6535747051239	59	929.6666666666666	157.27011441748522	1000.0	578.0	929.6666666666666	157.27011441748522	5578	315423
233.76863646507263	60	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	321423
236.26420950889587	61	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	327423
238.72780323028564	62	974.1666666666666	38.971855941891654	1000.0	899.0	974.1666666666666	38.971855941891654	5845	333268
240.8485927581787	63	514.2	231.0791206491837	981.0	207.0	514.2	231.0791206491837	5142	338410
243.03734588623047	64	907.5	206.83628791873053	1000.0	445.0	907.5	206.83628791873053	5445	343855
245.3470265865326	65	924.8333333333334	159.73145867013451	1000.0	568.0	924.8333333333334	159.73145867013451	5549	349404
247.83260679244995	66	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	355404
250.21025133132935	67	799.4285714285714	320.60071167502207	1000.0	210.0	799.4285714285714	320.60071167502207	5596	361000
252.42298579216003	68	272.9	260.36837365548064	1000.0	45.0	272.9	260.36837365548064	5458	366458
254.7056827545166	69	26.79144385026738	3.9277337699623716	44.0	20.0	26.79144385026738	3.9277337699623716	5010	371468
257.7856662273407	70	246.52380952380952	154.1469981937832	545.0	39.0	246.52380952380952	154.1469981937832	5177	376645
260.7689063549042	71	724.75	328.4839227420423	1000.0	135.0	724.75	328.4839227420423	5798	382443
263.4435729980469	72	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	388443
266.28594970703125	73	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	394443
269.4991376399994	74	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	400443
272.2745518684387	75	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	406443
275.8272325992584	76	915.6666666666666	188.57506610248228	1000.0	494.0	915.6666666666666	188.57506610248228	5494	411937
279.53717374801636	77	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	417937
282.506459236145	78	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	423937
285.55029487609863	79	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	429937
288.08574771881104	80	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	435937
290.532350063324	81	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	441937
293.0129382610321	82	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	447937
295.4515962600708	83	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	453937
297.83523535728455	84	976.0	53.665631459994955	1000.0	856.0	976.0	53.665631459994955	5856	459793
300.4007713794708	85	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	465793
302.84837579727173	86	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	471793
305.18963980674744	87	964.5	79.38041320124253	1000.0	787.0	964.5	79.38041320124253	5787	477580
307.65923261642456	88	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	483580
310.06785774230957	89	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	489580
382.81022548675537	90	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	495580
384.98589539527893	91	666.625	434.1442552597005	1000.0	28.0	666.625	434.1442552597005	5333	500913
387.0167362689972	92	837.1666666666666	364.10640233621575	1000.0	23.0	837.1666666666666	364.10640233621575	5023	505936
389.43235540390015	93	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	511936
391.85397577285767	94	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	517936
394.05747079849243	95	907.6666666666666	206.46360992248054	1000.0	446.0	907.6666666666666	206.46360992248054	5446	523382
396.48708415031433	96	995.1666666666666	8.091490729292238	1000.0	978.0	995.1666666666666	8.091490729292238	5971	529353
398.9087030887604	97	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	535353
401.30933475494385	98	1000.0	0.0	1000.0	1000.0	1000.0	0.0	6000	541353
403.31219029426575	99	837.0	364.47908033246574	1000.0	22.0	837.0	364.47908033246574	5022	546375
