#{"t_start": 1530994045.1765893, "env_id": "InvertedPendulum-v2"}
r,l,t
3.0,3,14.776097
2.0,2,14.782089
4.0,4,14.790084
16.0,16,14.814098
3.0,3,14.821068
3.0,3,14.827064
80.0,80,14.946263
2.0,2,14.951244
3.0,3,14.958251
2.0,2,14.964239
2.0,2,14.969233
2.0,2,14.974129
3.0,3,14.982137
2.0,2,14.987137
3.0,3,14.993912
3.0,3,15.000923
2.0,2,15.005907
3.0,3,15.012919
2.0,2,15.018898
2.0,2,15.023894
27.0,27,15.122838
10.0,10,15.165814
3.0,3,15.178807
3.0,3,15.1908
3.0,3,15.20779
6.0,6,15.244769
3.0,3,15.260759
2.0,2,15.273752
3.0,3,15.286745
3.0,3,15.306733
2.0,2,15.316726
4.0,4,15.330719
5.0,5,15.345711
3.0,3,15.356704
2.0,2,15.364699
2.0,2,15.372695
57.0,57,15.498623
3.0,3,15.505619
2.0,2,15.511615
3.0,3,15.519611
2.0,2,15.524608
3.0,3,15.530607
2.0,2,15.5396
2.0,2,15.547595
50.0,50,15.661531
3.0,3,15.668527
2.0,2,15.673523
2.0,2,15.705507
3.0,3,15.725495
2.0,2,15.736489
2.0,2,15.743484
4.0,4,15.762473
5.0,5,15.777466
3.0,3,15.808446
2.0,2,15.816442
2.0,2,15.826437
2.0,2,15.845427
3.0,3,15.866414
3.0,3,15.875408
3.0,3,15.883404
33.0,33,15.96036
3.0,3,15.989344
2.0,2,16.016328
3.0,3,16.033318
3.0,3,16.056306
3.0,3,16.081307
2.0,2,16.089285
3.0,3,16.095283
3.0,3,16.104277
2.0,2,16.111273
3.0,3,16.124266
4.0,4,16.133261
3.0,3,16.138258
3.0,3,16.144254
8.0,8,16.155248
5.0,5,16.172239
3.0,3,16.181251
3.0,3,16.18723
3.0,3,16.194227
2.0,2,16.200223
3.0,3,16.20622
3.0,3,16.22221
13.0,13,16.261188
3.0,3,16.269183
2.0,2,16.276181
3.0,3,16.285175
7.0,7,20.187143
2.0,2,20.19213
3.0,3,20.199126
2.0,2,20.204123
2.0,2,20.211118
9.0,9,20.223111
26.0,26,20.26109
3.0,3,20.267087
14.0,14,20.294071
4.0,4,20.302067
35.0,35,20.35204
43.0,43,20.415002
3.0,3,20.422017
2.0,2,20.42901
2.0,2,20.435024
10.0,10,20.453017
3.0,3,20.462011
3.0,3,20.470007
5.0,5,20.482002
2.0,2,20.487997
3.0,3,20.494992
2.0,2,20.504987
3.0,3,20.512983
2.0,2,20.517998
68.0,68,20.620939
3.0,3,20.627936
4.0,4,20.64091
3.0,3,20.646925
3.0,3,20.653902
3.0,3,20.660898
3.0,3,20.666913
3.0,3,20.673908
3.0,3,20.679904
3.0,3,20.686886
2.0,2,20.691884
2.0,2,20.697895
2.0,2,20.702893
3.0,3,20.709886
50.0,50,20.785828
3.0,3,20.792824
10.0,10,20.809831
38.0,38,20.866785
3.0,3,20.872793
20.0,20,20.909756
10.0,10,20.926747
2.0,2,20.931749
4.0,4,20.939754
3.0,3,20.946736
7.0,7,20.959743
43.0,43,21.024709
2.0,2,21.029707
14.0,14,21.052692
3.0,3,21.059675
27.0,27,21.105644
2.0,2,21.111642
4.0,4,21.118639
3.0,3,21.125634
5.0,5,21.13563
3.0,3,21.141627
44.0,44,21.204588
3.0,3,21.210586
3.0,3,21.21758
14.0,14,21.241567
41.0,41,21.302532
58.0,58,21.388483
27.0,27,21.427477
35.0,35,21.480431
3.0,3,21.486445
52.0,52,21.562401
3.0,3,21.568383
2.0,2,21.574381
5.0,5,21.583375
3.0,3,21.589371
4.0,4,21.598366
102.0,102,21.759272
3.0,3,21.766269
17.0,17,21.792253
5.0,5,21.808244
7.0,7,21.828233
3.0,3,21.835231
11.0,11,21.860214
16.0,16,26.133775
40.0,40,26.213728
48.0,48,26.291684
3.0,3,26.301678
5.0,5,26.318669
95.0,95,26.456607
19.0,19,26.484576
78.0,78,26.594515
57.0,57,26.678463
4.0,4,26.686473
3.0,3,26.694469
3.0,3,26.701454
3.0,3,26.707447
6.0,6,26.71844
11.0,11,26.734435
42.0,42,26.801393
5.0,5,26.81239
3.0,3,26.818388
55.0,55,26.902336
14.0,14,26.925323
3.0,3,26.932322
3.0,3,26.93933
3.0,3,26.946326
10.0,10,26.961304
7.0,7,26.975295
2.0,2,26.979291
14.0,14,27.000279
3.0,3,27.007292
2.0,2,27.013273
14.0,14,27.03526
2.0,2,27.040257
18.0,18,27.07124
2.0,2,27.083234
7.0,7,27.107218
3.0,3,27.113216
3.0,3,27.12321
4.0,4,27.130207
3.0,3,27.137202
3.0,3,27.143199
14.0,14,27.171185
23.0,23,27.215158
10.0,10,27.230148
3.0,3,27.237145
3.0,3,27.243143
3.0,3,27.250138
5.0,5,27.260132
2.0,2,27.264129
40.0,40,27.320099
47.0,47,27.392075
2.0,2,27.397053
15.0,15,27.42004
5.0,5,27.429034
12.0,12,27.448024
5.0,5,27.458037
5.0,5,27.467013
4.0,4,27.476027
5.0,5,27.485021
8.0,8,27.500994
10.0,10,27.517984
3.0,3,27.52498
7.0,7,27.536976
3.0,3,27.550969
2.0,2,27.564958
2.0,2,27.573953
3.0,3,27.581948
13.0,13,27.611931
8.0,8,27.625923
44.0,44,27.687887
3.0,3,27.694885
6.0,6,27.704878
1000.0,1000,32.756174
31.0,31,32.800147
3.0,3,32.807144
2.0,2,32.813141
102.0,102,36.571014
96.0,96,36.720913
5.0,5,36.730908
32.0,32,36.774879
2.0,2,36.779876
3.0,3,36.786876
3.0,3,36.792873
3.0,3,36.798868
41.0,41,36.858835
5.0,5,36.868826
85.0,85,37.020739
3.0,3,37.026735
2.0,2,37.033731
4.0,4,37.041727
2.0,2,37.046725
3.0,3,37.053721
46.0,46,37.118683
51.0,51,37.210631
4.0,4,37.218628
53.0,53,37.294582
10.0,10,37.317569
78.0,78,37.440503
7.0,7,37.454492
28.0,28,37.498467
6.0,6,37.50946
3.0,3,37.515475
3.0,3,37.522453
37.0,37,37.582419
60.0,60,37.672366
29.0,29,37.714343
10.0,10,37.730335
6.0,6,37.741328
3.0,3,37.747324
24.0,24,37.784321
3.0,3,37.790299
7.0,7,37.801294
30.0,30,37.846268
3.0,3,37.85328
3.0,3,37.859261
6.0,6,37.870254
34.0,34,37.920228
11.0,11,37.942216
3.0,3,37.950209
2.0,2,37.956207
3.0,3,37.963201
2.0,2,37.969198
3.0,3,37.975194
1000.0,1000,43.670943
3.0,3,43.677941
2.0,2,43.682938
3.0,3,43.69293
135.0,135,47.59305
10.0,10,47.610025
3.0,3,47.61702
44.0,44,47.685984
5.0,5,47.695992
2.0,2,47.700987
16.0,16,47.726961
388.0,388,48.456544
3.0,3,48.462544
31.0,31,48.531499
2.0,2,48.540493
3.0,3,48.561482
3.0,3,48.580473
2.0,2,48.587466
97.0,97,48.803344
2.0,2,48.81034
4.0,4,48.824331
3.0,3,48.832328
8.0,8,48.849319
243.0,243,49.559911
3.0,3,49.570905
3.0,3,49.5789
41.0,41,49.653858
3.0,3,49.663852
3.0,3,49.670848
6.0,6,49.682841
25.0,25,57.737244
2.0,2,57.746238
36.0,36,57.827192
60.0,60,57.976108
2.0,2,57.986101
3.0,3,57.997096
24.0,24,58.14701
6.0,6,58.182989
50.0,50,58.389871
10.0,10,58.421852
2.0,2,58.428848
4.0,4,58.436843
3.0,3,58.447838
3.0,3,58.457833
12.0,12,58.480819
3.0,3,58.487814
5.0,5,58.503807
3.0,3,58.510802
14.0,14,58.532789
7.0,7,58.544783
13.0,13,58.602751
59.0,59,58.722682
3.0,3,58.733676
8.0,8,58.775651
2.0,2,58.784647
4.0,4,58.797638
2.0,2,58.807634
8.0,8,58.838616
6.0,6,58.868598
29.0,29,58.936558
10.0,10,58.964544
83.0,83,59.102464
4.0,4,59.112458
5.0,5,59.122452
3.0,3,59.130448
6.0,6,59.14644
2.0,2,59.151436
39.0,39,59.253378
3.0,3,59.262373
4.0,4,59.272368
6.0,6,59.28536
6.0,6,59.299351
64.0,64,59.419283
3.0,3,59.42628
4.0,4,59.434276
4.0,4,59.44327
33.0,33,59.494242
47.0,47,59.569199
3.0,3,59.578193
25.0,25,59.619169
3.0,3,59.628164
1000.0,1000,65.268946
4.0,4,65.276939
3.0,3,65.281938
36.0,36,65.328909
29.0,29,65.369885
37.0,37,65.415861
2.0,2,65.419859
3.0,3,65.425856
5.0,5,65.43385
4.0,4,65.441846
11.0,11,65.459836
3.0,3,65.466831
3.0,3,65.473829
2.0,2,65.478827
5.0,5,65.488822
3.0,3,65.493819
29.0,29,65.535791
2.0,2,65.540788
4.0,4,65.548793
22.0,22,65.578786
2.0,2,65.583782
2.0,2,65.589761
4.0,4,65.597756
5.0,5,65.606751
1000.0,1000,71.229216
3.0,3,71.236227
3.0,3,71.24221
11.0,11,71.260215
90.0,90,74.962145
20.0,20,74.998123
17.0,17,75.024109
3.0,3,75.031104
3.0,3,75.0371
4.0,4,75.044098
3.0,3,75.053091
4.0,4,75.060089
2.0,2,75.065082
3.0,3,75.071081
8.0,8,75.08707
3.0,3,75.095068
2.0,2,75.102061
10.0,10,75.119054
3.0,3,75.126051
8.0,8,75.140043
3.0,3,75.146038
119.0,119,75.312698
4.0,4,75.320706
3.0,3,75.32669
3.0,3,75.333702
2.0,2,75.339699
4.0,4,75.347691
3.0,3,75.353675
3.0,3,75.359673
3.0,3,75.36668
3.0,3,75.372665
9.0,9,75.387656
2.0,2,75.392652
2.0,2,75.396655
3.0,3,75.40366
2.0,2,75.408645
4.0,4,75.417636
2.0,2,75.422633
34.0,34,75.477465
2.0,2,75.483449
35.0,35,75.542845
2.0,2,75.548824
31.0,31,75.593798
4.0,4,75.602796
4.0,4,75.610806
37.0,37,75.667756
4.0,4,75.67577
3.0,3,75.682751
94.0,94,75.818688
3.0,3,75.825684
3.0,3,75.833662
3.0,3,75.84066
3.0,3,75.847655
24.0,24,75.882633
36.0,36,75.936606
40.0,40,75.992573
9.0,9,76.006563
3.0,3,76.013559
3.0,3,76.019557
2.0,2,76.025555
3.0,3,76.034562
3.0,3,76.040545
3.0,3,76.04754
4.0,4,76.055536
53.0,53,76.131492
4.0,4,76.139489
2.0,2,76.144503
3.0,3,76.151498
4.0,4,76.159494
2.0,2,76.165474
3.0,3,76.171471
2.0,2,76.176469
3.0,3,76.183478
3.0,3,76.189461
3.0,3,76.195472
3.0,3,76.201454
3.0,3,76.207463
45.0,45,76.274426
3.0,3,76.280407
3.0,3,76.287404
3.0,3,76.294401
11.0,11,76.313389
2.0,2,76.318388
3.0,3,76.324948
3.0,3,76.331948
3.0,3,76.338943
3.0,3,76.34494
12.0,12,76.365636
4.0,4,76.373636
3.0,3,76.38163
3.0,3,76.387645
30.0,30,76.433601
2.0,2,76.438598
2.0,2,76.443595
3.0,3,76.449591
2.0,2,76.454588
5.0,5,76.462584
4.0,4,76.46958
4.0,4,76.476576
3.0,3,76.483572
84.0,84,80.33616
4.0,4,80.344168
59.0,59,80.434101
102.0,102,80.587017
3.0,3,80.594026
2.0,2,80.600024
4.0,4,80.609017
2.0,2,80.614002
3.0,3,80.619996
3.0,3,80.626993
3.0,3,80.632988
19.0,19,80.662973
3.0,3,80.669967
4.0,4,80.677964
6.0,6,80.689954
3.0,3,80.695953
3.0,3,80.702948
5.0,5,80.712944
45.0,45,80.803236
3.0,3,80.813232
7.0,7,80.830222
41.0,41,80.910177
3.0,3,80.919172
12.0,12,80.938161
3.0,3,80.945156
3.0,3,80.952153
38.0,38,81.007122
222.0,222,81.347942
3.0,3,81.35494
3.0,3,81.362917
69.0,69,81.46488
3.0,3,81.471874
3.0,3,81.478868
3.0,3,81.485865
2.0,2,81.491846
2.0,2,81.496857
3.0,3,81.50284
9.0,9,81.518847
2.0,2,81.524841
3.0,3,81.531824
4.0,4,81.53882
18.0,18,81.5688
3.0,3,81.576811
3.0,3,81.583792
4.0,4,81.591789
2.0,2,81.596784
19.0,19,81.628766
47.0,47,81.699727
3.0,3,81.706722
63.0,63,81.799667
57.0,57,85.528054
14.0,14,85.551056
3.0,3,85.558052
2.0,2,85.563048
9.0,9,85.581039
2.0,2,85.587023
3.0,3,85.593016
23.0,23,85.631011
3.0,3,85.637989
3.0,3,85.645001
4.0,4,85.652998
7.0,7,85.665976
4.0,4,85.674804
286.0,286,86.112723
12.0,12,86.132711
18.0,18,86.16068
3.0,3,86.166674
3.0,3,86.173686
6.0,6,86.183664
3.0,3,86.190679
3.0,3,86.197657
4.0,4,86.206654
3.0,3,86.212651
3.0,3,86.219648
19.0,19,86.249627
3.0,3,86.256639
35.0,35,86.306594
11.0,11,86.325588
3.0,3,86.332583
4.0,4,86.339576
69.0,69,86.436522
49.0,49,86.509483
3.0,3,86.515479
3.0,3,86.522488
3.0,3,86.528468
3.0,3,86.535464
3.0,3,86.541464
68.0,68,86.644404
5.0,5,86.653397
2.0,2,86.658396
3.0,3,86.664393
4.0,4,86.6734
4.0,4,86.681399
18.0,18,86.709381
97.0,97,86.852793
19.0,19,86.883778
5.0,5,86.893773
45.0,45,86.958733
3.0,3,86.964747
3.0,3,86.971727
3.0,3,86.977724
6.0,6,86.987716
54.0,54,87.067688
3.0,3,87.075666
4.0,4,87.083677
3.0,3,87.089658
3.0,3,87.095658
130.0,130,90.831631
3.0,3,90.838626
161.0,161,91.07251
3.0,3,91.079505
56.0,56,91.163452
47.0,47,91.237398
62.0,62,91.329129
3.0,3,91.337142
89.0,89,91.474612
2.0,2,91.480608
330.0,330,91.95432
2.0,2,91.959333
60.0,60,92.047285
10.0,10,92.063257
23.0,23,92.099256
1000.0,1000,97.141142
12.0,12,97.161117
3.0,3,97.167111
3.0,3,97.174109
42.0,42,100.825285
159.0,159,101.06015
3.0,3,101.066146
3.0,3,101.073143
2.0,2,101.078141
47.0,47,101.1471
8.0,8,101.161093
3.0,3,101.16709
3.0,3,101.173086
33.0,33,101.223059
2.0,2,101.228054
4.0,4,101.236051
3.0,3,101.243045
4.0,4,101.250043
6.0,6,101.261034
2.0,2,101.266037
64.0,64,101.35798
35.0,35,101.408137
66.0,66,101.508079
68.0,68,101.61402
4.0,4,101.622017
141.0,141,101.835593
62.0,62,101.931544
5.0,5,101.940551
2.0,2,101.94555
21.0,21,101.978513
3.0,3,101.985526
4.0,4,101.994504
3.0,3,102.0005
2.0,2,102.005497
3.0,3,102.013494
2.0,2,102.019493
23.0,23,102.053473
4.0,4,102.061465
6.0,6,102.072459
3.0,3,102.078456
3.0,3,102.085453
6.0,6,102.096446
4.0,4,102.104441
3.0,3,102.111439
6.0,6,102.121431
4.0,4,102.130444
3.0,3,102.137439
22.0,22,102.170403
4.0,4,102.178401
104.0,104,102.330312
3.0,3,102.337311
2.0,2,102.343307
42.0,42,105.956105
3.0,3,105.963117
4.0,4,105.971096
32.0,32,106.018071
35.0,35,106.073285
3.0,3,106.079281
3.0,3,106.08628
2.0,2,106.09129
3.0,3,106.09827
7.0,7,106.112262
3.0,3,106.117273
1000.0,1000,111.14901
28.0,28,111.189987
11.0,11,111.207981
6.0,6,111.21897
2.0,2,111.223967
20.0,20,111.25495
90.0,90,111.389873
3.0,3,111.39587
7.0,7,111.407861
233.0,233,111.745858
4.0,4,111.754853
4.0,4,111.762977
4.0,4,111.770989
38.0,38,111.830323
3.0,3,111.837
3.0,3,111.844012
18.0,18,111.870984
3.0,3,111.876978
109.0,109,112.033905
4.0,4,112.040887
4.0,4,112.049878
3.0,3,112.056877
3.0,3,112.062889
8.0,8,112.076865
59.0,59,112.164814
14.0,14,112.1858
3.0,3,112.192797
3.0,3,112.198796
106.0,106,112.342711
3.0,3,112.349708
23.0,23,112.385378
4.0,4,112.392356
12.0,12,112.411346
3.0,3,112.418342
3.0,3,112.424338
3.0,3,112.430334
8.0,8,112.443345
3.0,3,112.450324
3.0,3,112.45632
19.0,19,116.03951
4.0,4,116.046506
43.0,43,116.106473
3.0,3,116.113468
31.0,31,116.155445
3.0,3,116.162441
4.0,4,116.169436
5.0,5,116.17943
80.0,80,116.293365
18.0,18,116.324348
87.0,87,116.458993
2.0,2,116.463002
21.0,21,116.495971
3.0,3,116.502968
32.0,32,116.553196
5.0,5,116.563188
4.0,4,116.571184
185.0,185,116.861018
3.0,3,116.868001
47.0,47,116.94196
2.0,2,116.946971
3.0,3,116.954952
7.0,7,116.967945
58.0,58,117.055323
34.0,34,117.105277
3.0,3,117.112273
78.0,78,117.22221
3.0,3,117.229208
3.0,3,117.236202
106.0,106,117.386122
3.0,3,117.394112
53.0,53,117.467071
13.0,13,117.489076
27.0,27,117.530034
3.0,3,117.536033
67.0,67,121.292628
49.0,49,121.364591
3.0,3,121.3716
5.0,5,121.381581
2.0,2,121.386591
2.0,2,121.391574
45.0,45,121.45885
5.0,5,121.466832
3.0,3,121.473827
3.0,3,121.480822
70.0,70,121.585779
3.0,3,121.592758
68.0,68,121.694701
27.0,27,121.738675
4.0,4,121.748671
10.0,10,121.76566
15.0,15,121.789646
4.0,4,121.796641
3.0,3,121.801639
271.0,271,122.192431
1000.0,1000,127.18251
4.0,4,127.191504
2.0,2,127.196501
3.0,3,127.203497
65.0,65,127.305904
21.0,21,127.340886
24.0,24,127.380864
3.0,3,127.389854
3.0,3,127.400852
3.0,3,127.412858
5.0,5,127.428849
4.0,4,127.440826
4.0,4,127.45282
92.0,92,127.594738
41.0,41,127.655703
45.0,45,127.721667
3.0,3,127.729661
119.0,119,131.533466
5.0,5,131.543463
3.0,3,131.550457
65.0,65,131.652174
68.0,68,131.759111
53.0,53,131.839065
3.0,3,131.846061
4.0,4,131.855058
3.0,3,131.861069
49.0,49,131.93303
235.0,235,132.272578
7.0,7,132.285567
3.0,3,132.292562
79.0,79,132.40851
25.0,25,132.447477
3.0,3,132.45447
35.0,35,132.50546
3.0,3,132.512455
3.0,3,132.518434
30.0,30,132.564407
61.0,61,132.654359
58.0,58,132.739326
50.0,50,132.814264
60.0,60,132.898217
26.0,26,136.645078
3.0,3,136.651074
52.0,52,136.72441
4.0,4,136.733405
35.0,35,136.786913
5.0,5,136.796906
33.0,33,136.846861
3.0,3,136.852875
39.0,39,136.910824
3.0,3,136.916821
4.0,4,136.92482
127.0,127,137.105714
3.0,3,137.112709
34.0,34,137.16767
2.0,2,137.172683
3.0,3,137.179673
12.0,12,137.200651
29.0,29,137.246624
3.0,3,137.253623
3.0,3,137.260618
264.0,264,137.65181
2.0,2,137.657807
4.0,4,137.664801
3.0,3,137.671785
3.0,3,137.678795
3.0,3,137.685773
6.0,6,137.697784
67.0,67,137.804771
3.0,3,137.811822
7.0,7,137.8237
3.0,3,137.831697
3.0,3,137.837711
3.0,3,137.84569
2.0,2,137.849686
181.0,181,138.111551
3.0,3,138.118532
5.0,5,138.128542
3.0,3,138.134541
40.0,40,141.747007
4.0,4,141.755002
29.0,29,141.798995
4.0,4,141.807972
23.0,23,141.843953
80.0,80,141.963885
3.0,3,141.969898
36.0,36,142.021868
60.0,60,142.114804
2.0,2,142.120795
59.0,59,142.208406
11.0,11,142.225015
58.0,58,142.316974
55.0,55,142.402911
4.0,4,142.410905
3.0,3,142.417901
1000.0,1000,147.486754
5.0,5,147.495767
19.0,19,147.525731
10.0,10,147.541741
3.0,3,147.547736
3.0,3,147.554717
33.0,33,147.604687
15.0,15,147.626674
2.0,2,147.631672
46.0,46,147.701631
3.0,3,147.707628
11.0,11,147.725618
192.0,192,148.01447
40.0,40,148.075422
26.0,26,148.114398
50.0,50,148.18637
5.0,5,148.195352
8.0,8,148.209342
3.0,3,148.215338
64.0,64,148.306306
3.0,3,148.313282
2.0,2,148.318279
3.0,3,148.325276
5.0,5,148.335273
3.0,3,148.341269
129.0,129,152.088548
6.0,6,152.099525
45.0,45,152.169326
49.0,49,152.244888
61.0,61,152.340925
14.0,14,152.365922
53.0,53,152.448876
3.0,3,152.454855
28.0,28,152.498833
6.0,6,152.509834
30.0,30,152.556815
87.0,87,152.692723
3.0,3,152.698734
51.0,51,152.778689
24.0,24,152.81565
3.0,3,152.821647
4.0,4,152.830645
86.0,86,152.953572
6.0,6,152.964567
1000.0,1000,158.015122
67.0,67,158.115749
207.0,207,158.424744
41.0,41,162.055738
9.0,9,162.071552
4.0,4,162.079565
1000.0,1000,167.097013
8.0,8,167.111004
23.0,23,167.148001
10.0,10,167.166972
7.0,7,167.179985
40.0,40,167.24201
51.0,51,167.321962
51.0,51,167.40192
67.0,67,167.507859
109.0,109,167.666753
18.0,18,167.694737
79.0,79,167.80767
88.0,88,167.930695
39.0,39,167.987658
3.0,3,167.993671
4.0,4,168.001654
4.0,4,168.009664
4.0,4,168.017644
4.0,4,168.025653
42.0,42,168.089599
4.0,4,168.096598
4.0,4,168.104594
279.0,279,168.508452
3.0,3,168.515465
6.0,6,168.526362
54.0,54,172.215213
48.0,48,172.286173
49.0,49,172.359148
21.0,21,172.393112
22.0,22,172.427092
3.0,3,172.433104
52.0,52,172.508064
3.0,3,172.515057
87.0,87,172.64397
7.0,7,172.65696
158.0,158,172.88583
51.0,51,172.95679
4.0,4,172.963786
4.0,4,172.971781
12.0,12,172.991788
75.0,75,173.099229
3.0,3,173.10621
34.0,34,173.156199
3.0,3,173.162196
39.0,39,173.218146
3.0,3,173.225141
78.0,78,173.334082
336.0,336,177.488553
3.0,3,177.49455
8.0,8,177.509541
51.0,51,177.5877
4.0,4,177.595678
47.0,47,177.667477
1000.0,1000,182.758326
4.0,4,182.766307
3.0,3,182.775304
3.0,3,182.7823
3.0,3,182.788296
3.0,3,182.795293
