#{"t_start": 1530994045.1765893, "env_id": "InvertedPendulum-v2"}
r,l,t
4.0,4,182.803287
168.0,168,183.048146
4.0,4,183.056143
3.0,3,183.063139
56.0,56,183.145094
51.0,51,183.224061
105.0,105,183.374822
49.0,49,183.445786
20.0,20,183.475765
5.0,5,183.486761
68.0,68,183.59091
3.0,3,183.597923
75.0,75,183.71284
72.0,72,183.818072
6.0,6,183.828067
9.0,9,183.844073
3.0,3,183.850051
50.0,50,183.922025
5.0,5,183.932004
44.0,44,187.587731
64.0,64,187.687674
10.0,10,187.705664
24.0,24,187.740647
21.0,21,187.773643
4.0,4,187.78162
4.0,4,187.789615
894.0,894,192.659511
13.0,13,192.682192
25.0,25,192.719173
5.0,5,192.729167
3.0,3,192.735164
39.0,39,192.79113
24.0,24,192.829724
38.0,38,192.888711
3.0,3,192.89669
71.0,71,193.00063
23.0,23,193.035612
6.0,6,193.046604
134.0,134,193.242765
18.0,18,193.269733
4.0,4,193.276727
53.0,53,193.356698
13.0,13,193.377689
6.0,6,193.387669
5.0,5,193.396663
51.0,51,193.474797
236.0,236,193.834062
5.0,5,193.844071
58.0,58,193.926005
29.0,29,193.970982
35.0,35,194.022951
1000.0,1000,199.154307
14.0,14,199.178729
11.0,11,199.196733
80.0,80,202.910196
7.0,7,202.923185
60.0,60,203.008137
105.0,105,203.171046
103.0,103,203.317963
45.0,45,203.389922
7.0,7,203.401916
43.0,43,203.467877
143.0,143,203.6754
77.0,77,203.788336
5.0,5,203.797328
3.0,3,203.803309
4.0,4,203.810306
21.0,21,203.841287
3.0,3,203.847284
3.0,3,203.854279
125.0,125,204.032809
43.0,43,204.126757
65.0,65,204.249687
81.0,81,207.922603
207.0,207,208.226289
110.0,110,208.38518
3.0,3,208.392176
6.0,6,208.402185
4.0,4,208.410166
30.0,30,208.456157
37.0,37,208.509109
47.0,47,208.575072
11.0,11,208.592062
10.0,10,208.608053
4.0,4,208.616048
4.0,4,208.624043
12.0,12,208.642034
39.0,39,208.699001
44.0,44,208.760979
48.0,48,208.829926
111.0,111,208.989835
4.0,4,208.998832
126.0,126,209.179749
98.0,98,209.320645
3.0,3,209.326644
54.0,54,213.024759
17.0,17,213.052762
6.0,6,213.063737
160.0,160,213.29161
4.0,4,213.300602
259.0,259,213.668628
48.0,48,213.743865
4.0,4,213.751875
44.0,44,213.825079
125.0,125,214.017283
23.0,23,214.053244
44.0,44,214.123205
3.0,3,214.130201
13.0,13,214.152189
4.0,4,214.160184
4.0,4,214.16918
72.0,72,214.281354
61.0,61,214.378299
239.0,239,218.312997
5.0,5,218.323005
3.0,3,218.328987
45.0,45,218.392969
5.0,5,218.402946
5.0,5,218.412941
5.0,5,218.422934
79.0,79,218.538869
5.0,5,218.54788
39.0,39,218.609844
490.0,490,219.327885
45.0,45,219.396844
4.0,4,219.403824
43.0,43,219.467586
116.0,116,223.339242
3.0,3,223.346224
12.0,12,223.365211
3.0,3,223.372208
12.0,12,223.391197
20.0,20,223.422179
12.0,12,223.441182
2.0,2,223.446181
60.0,60,223.536129
3.0,3,223.543126
71.0,71,223.654045
5.0,5,223.664057
45.0,45,223.734002
167.0,167,223.980818
3.0,3,223.98706
116.0,116,224.161609
23.0,23,224.195572
3.0,3,224.202583
6.0,6,224.212563
87.0,87,224.342488
19.0,19,224.371475
58.0,58,224.454427
50.0,50,224.526386
3.0,3,224.531382
72.0,72,224.638321
97.0,97,224.772243
111.0,111,228.488355
50.0,50,228.564312
3.0,3,228.571313
11.0,11,228.589298
6.0,6,228.60031
39.0,39,228.658258
4.0,4,228.666255
64.0,64,228.761219
3.0,3,228.769197
253.0,253,229.169968
41.0,41,229.258917
9.0,9,229.278903
145.0,145,229.498779
52.0,52,229.60672
64.0,64,229.72565
3.0,3,229.731645
99.0,99,229.875798
40.0,40,229.935306
50.0,50,233.706411
10.0,10,233.725404
315.0,315,234.191002
4.0,4,234.198998
10.0,10,234.214989
79.0,79,234.329939
4.0,4,234.336922
63.0,63,234.427869
3.0,3,234.434865
44.0,44,234.500826
40.0,40,234.557795
4.0,4,234.566788
4.0,4,234.574784
223.0,223,234.910593
73.0,73,235.015532
5.0,5,235.025526
3.0,3,235.032521
3.0,3,235.039519
4.0,4,235.047513
4.0,4,235.05551
17.0,17,235.081494
35.0,35,235.130466
3.0,3,235.137462
6.0,6,235.147455
1000.0,1000,240.360813
91.0,91,244.518442
21.0,21,244.549424
53.0,53,244.631393
3.0,3,244.638374
31.0,31,244.687345
68.0,68,244.794285
9.0,9,244.809275
53.0,53,244.89123
20.0,20,244.924207
1000.0,1000,249.997993
15.0,15,250.020991
46.0,46,250.090941
37.0,37,250.147911
5.0,5,250.157907
309.0,309,250.603652
66.0,66,250.700593
45.0,45,250.768554
4.0,4,250.775552
56.0,56,250.858521
5.0,5,250.867497
7.0,7,250.880492
65.0,65,250.974441
62.0,62,254.64155
1000.0,1000,259.646017
61.0,61,259.73996
44.0,44,259.808092
4.0,4,259.81707
59.0,59,259.907672
7.0,7,259.919665
76.0,76,260.031071
13.0,13,260.050058
77.0,77,260.161995
27.0,27,260.202988
3.0,3,260.209966
9.0,9,260.225957
132.0,132,260.421846
20.0,20,260.452844
95.0,95,260.596749
41.0,41,260.659709
37.0,37,260.717695
63.0,63,260.811623
3.0,3,260.818619
3.0,3,260.825614
68.0,68,260.929713
3.0,3,260.936709
57.0,57,261.02366
214.0,214,264.891632
25.0,25,264.928627
40.0,40,264.987577
145.0,145,265.200214
51.0,51,265.275874
8.0,8,265.288851
53.0,53,265.366807
35.0,35,265.417775
12.0,12,265.435765
18.0,18,265.463749
40.0,40,265.523714
45.0,45,265.58868
5.0,5,265.598675
137.0,137,265.807567
17.0,17,265.836538
128.0,128,266.031647
88.0,88,269.713224
107.0,107,269.879143
3.0,3,269.886123
48.0,48,269.958216
68.0,68,270.063156
6.0,6,270.074168
53.0,53,270.1571
155.0,155,270.391951
8.0,8,270.406941
4.0,4,270.415938
11.0,11,270.432927
5.0,5,270.441939
13.0,13,270.461927
24.0,24,270.498906
56.0,56,270.580842
72.0,72,270.690781
52.0,52,270.767736
8.0,8,270.781742
28.0,28,270.822721
19.0,19,270.850689
37.0,37,270.906659
5.0,5,270.915653
50.0,50,270.98561
48.0,48,271.057569
18.0,18,271.087571
29.0,29,271.133345
56.0,56,274.931674
1000.0,1000,280.091907
55.0,55,280.178305
42.0,42,280.244266
1000.0,1000,285.26383
4.0,4,285.271827
1000.0,1000,290.341637
4.0,4,290.351645
58.0,58,290.434585
30.0,30,290.481555
51.0,51,290.554267
6.0,6,290.565276
124.0,124,290.743174
6.0,6,290.754168
37.0,37,290.810121
53.0,53,290.885076
157.0,157,291.114944
30.0,30,291.161892
63.0,63,291.260831
57.0,57,291.346611
237.0,237,295.344562
44.0,44,295.40954
4.0,4,295.417521
47.0,47,295.48763
43.0,43,295.551572
57.0,57,295.635527
36.0,36,295.694494
14.0,14,295.716482
41.0,41,295.775451
62.0,62,295.866393
60.0,60,295.952344
46.0,46,296.018306
46.0,46,296.084281
171.0,171,296.341266
168.0,168,296.596301
64.0,64,296.690244
8.0,8,296.704236
156.0,156,300.559925
78.0,78,300.682869
264.0,264,301.058258
300.0,300,301.552972
1000.0,1000,306.73531
35.0,35,306.787266
134.0,134,306.977155
45.0,45,307.044116
51.0,51,307.120074
92.0,92,310.86328
47.0,47,310.935237
15.0,15,310.960222
55.0,55,311.048175
44.0,44,311.115832
35.0,35,311.169787
3.0,3,311.175783
124.0,124,311.356695
4.0,4,311.365688
336.0,336,311.929591
18.0,18,311.957588
49.0,49,312.031533
122.0,122,312.219425
41.0,41,312.279392
6.0,6,312.290385
118.0,118,316.402039
74.0,74,316.587931
47.0,47,316.657892
3.0,3,316.663888
76.0,76,316.808805
50.0,50,316.881764
31.0,31,316.927737
72.0,72,317.033677
50.0,50,317.108634
67.0,67,317.208577
115.0,115,317.374482
56.0,56,317.452439
6.0,6,317.464431
16.0,16,317.496417
4.0,4,317.508407
52.0,52,317.633334
52.0,52,317.749269
87.0,87,317.885191
17.0,17,317.912176
44.0,44,321.826576
44.0,44,321.890539
28.0,28,321.930515
397.0,397,322.531154
34.0,34,322.582142
4.0,4,322.590138
627.0,627,327.165541
76.0,76,327.274482
88.0,88,327.409404
38.0,38,327.476367
28.0,28,327.533333
19.0,19,327.572309
3.0,3,327.581304
4.0,4,327.591298
91.0,91,327.752207
181.0,181,328.006065
175.0,175,328.253922
22.0,22,328.287918
31.0,31,328.336543
1000.0,1000,333.500635
62.0,62,333.588588
4.0,4,333.597581
56.0,56,338.411523
123.0,123,338.588439
42.0,42,338.654441
15.0,15,338.679282
290.0,290,339.184986
42.0,42,339.249965
5.0,5,339.259943
73.0,73,339.37656
110.0,110,339.588431
22.0,22,339.628422
55.0,55,339.704364
103.0,103,339.858277
112.0,112,343.597155
1000.0,1000,348.609304
60.0,60,348.697251
129.0,129,348.884888
95.0,95,349.026373
241.0,241,349.373189
68.0,68,349.473095
76.0,76,349.591492
35.0,35,349.647474
44.0,44,349.715421
13.0,13,349.738408
118.0,118,349.91031
102.0,102,353.60217
39.0,39,353.660133
45.0,45,353.729924
26.0,26,353.772899
34.0,34,353.82487
121.0,121,353.994789
1000.0,1000,359.17081
366.0,366,359.711101
82.0,82,359.829028
39.0,39,359.884
52.0,52,359.960967
117.0,117,360.122861
103.0,103,363.826159
47.0,47,363.899117
46.0,46,363.967714
7.0,7,363.980725
69.0,69,364.081649
12.0,12,364.10164
128.0,128,364.283534
16.0,16,364.308522
37.0,37,364.366486
1000.0,1000,369.513198
60.0,60,369.600146
29.0,29,369.642138
1000.0,1000,374.647207
31.0,31,374.697195
63.0,63,374.79603
45.0,45,374.864876
128.0,128,375.057053
55.0,55,375.143521
7.0,7,375.156513
1000.0,1000,380.310956
243.0,243,384.261286
1000.0,1000,389.307571
456.0,456,390.024735
54.0,54,390.101704
1000.0,1000,395.116769
39.0,39,395.179726
185.0,185,395.456367
54.0,54,395.535307
877.0,877,400.391825
1000.0,1000,405.375772
103.0,103,405.52267
76.0,76,405.631619
62.0,62,405.721555
9.0,9,405.737544
239.0,239,409.644803
137.0,137,409.840573
1000.0,1000,414.957079
62.0,62,415.049027
1000.0,1000,420.086003
194.0,194,420.368084
183.0,183,420.633932
12.0,12,420.653919
74.0,74,420.757859
1000.0,1000,425.771441
1000.0,1000,430.985956
1000.0,1000,436.047209
1000.0,1000,441.251796
1000.0,1000,446.396408
1000.0,1000,451.446801
1000.0,1000,456.801573
1000.0,1000,462.109927
7.0,7,462.120905
1000.0,1000,467.385136
1000.0,1000,472.631589
1000.0,1000,478.133624
1000.0,1000,483.622448
1000.0,1000,489.277336
1000.0,1000,494.666915
1000.0,1000,499.709748
1000.0,1000,504.830558
1000.0,1000,510.273754
1000.0,1000,515.32228
1000.0,1000,520.406643
1000.0,1000,525.527052
1000.0,1000,530.602696
1000.0,1000,535.943777
1000.0,1000,540.963095
1000.0,1000,546.113064
1000.0,1000,551.561998
1000.0,1000,556.658632
1000.0,1000,561.715855
1000.0,1000,566.743106
1000.0,1000,571.759275
1000.0,1000,576.797142
1000.0,1000,581.871101
1000.0,1000,587.3037
1000.0,1000,592.318966
1000.0,1000,597.364243
1000.0,1000,602.398434
394.0,394,606.591886
1000.0,1000,611.682291
1000.0,1000,616.783446
1000.0,1000,621.788985
1000.0,1000,627.110722
1000.0,1000,632.348255
1000.0,1000,637.590206
1000.0,1000,642.732352
1000.0,1000,648.039094
1000.0,1000,653.439798
55.0,55,653.53574
1000.0,1000,658.791874
995.0,995,664.015783
1000.0,1000,670.798902
1000.0,1000,676.536869
1000.0,1000,681.542426
1000.0,1000,690.812135
1000.0,1000,698.910829
1000.0,1000,706.637179
9.0,9,706.652172
1000.0,1000,713.080145
1000.0,1000,719.25612
1000.0,1000,724.574676
1000.0,1000,729.597322
1000.0,1000,734.560985
1000.0,1000,739.471821
1000.0,1000,744.493946
30.0,30,744.541903
1000.0,1000,749.437108
1000.0,1000,755.326188
1000.0,1000,760.350641
1000.0,1000,765.549287
1000.0,1000,770.644614
1000.0,1000,776.870061
1000.0,1000,782.478287
1000.0,1000,788.336748
1000.0,1000,794.498664
1000.0,1000,799.884211
1000.0,1000,805.249192
171.0,171,805.516021
1000.0,1000,811.061901
1000.0,1000,816.373177
1000.0,1000,821.593541
1000.0,1000,827.749912
1000.0,1000,834.279243
1000.0,1000,841.31987
1000.0,1000,846.308321
1000.0,1000,851.225498
1000.0,1000,856.121751
1000.0,1000,861.005964
11.0,11,861.022956
67.0,67,861.118898
1000.0,1000,866.292948
1000.0,1000,871.173159
1000.0,1000,876.068583
1000.0,1000,881.06909
1000.0,1000,885.956373
1000.0,1000,890.843115
1000.0,1000,895.746531
1000.0,1000,900.639747
1000.0,1000,905.929478
1000.0,1000,911.949161
1000.0,1000,920.138118
1000.0,1000,925.506408
1000.0,1000,932.983232
1000.0,1000,938.992944
1000.0,1000,946.386899
1000.0,1000,954.5248
1000.0,1000,961.853472
1000.0,1000,967.968491
81.0,81,968.089437
1000.0,1000,972.985127
1000.0,1000,978.101108
1000.0,1000,983.332267
1000.0,1000,988.795159
1000.0,1000,994.264038
1000.0,1000,999.238253
1000.0,1000,1004.220744
1000.0,1000,1009.39835
1000.0,1000,1015.02782
1000.0,1000,1020.059196
1000.0,1000,1025.381351
1000.0,1000,1032.705729
1000.0,1000,1039.126339
1000.0,1000,1044.738797
1000.0,1000,1050.521417
1000.0,1000,1056.271833
1000.0,1000,1061.174873
1000.0,1000,1066.075073
1000.0,1000,1071.182842
1000.0,1000,1078.160857
1000.0,1000,1086.130309
93.0,93,1086.37217
63.0,63,1086.537076
1000.0,1000,1093.908868
1000.0,1000,1100.589087
806.0,806,1105.974177
1000.0,1000,1111.361449
1000.0,1000,1116.509815
1000.0,1000,1122.200567
1000.0,1000,1127.970288
187.0,187,1128.25113
1000.0,1000,1134.044358
1000.0,1000,1140.359752
1000.0,1000,1146.272379
1000.0,1000,1152.5144
1000.0,1000,1158.330444
165.0,165,1162.187351
1000.0,1000,1167.150517
1000.0,1000,1172.091429
57.0,57,1172.178396
1000.0,1000,1177.157851
194.0,194,1177.441674
74.0,74,1177.544617
1000.0,1000,1182.508004
1000.0,1000,1187.486159
233.0,233,1187.82598
1000.0,1000,1192.761704
1000.0,1000,1197.710635
1000.0,1000,1202.629827
1000.0,1000,1208.005411
1000.0,1000,1212.941393
1000.0,1000,1217.877557
1000.0,1000,1222.804745
1000.0,1000,1227.760701
1000.0,1000,1232.675842
1000.0,1000,1237.643231
1000.0,1000,1242.616043
1000.0,1000,1247.580019
1000.0,1000,1252.547182
1000.0,1000,1257.927387
1000.0,1000,1262.885703
1000.0,1000,1267.773257
1000.0,1000,1272.925764
1000.0,1000,1277.884903
1000.0,1000,1282.801633
83.0,83,1282.925563
1000.0,1000,1287.866872
1000.0,1000,1292.815051
1000.0,1000,1297.791958
1000.0,1000,1302.72326
666.0,666,1307.745393
1000.0,1000,1312.686278
1000.0,1000,1317.623669
1000.0,1000,1322.550855
1000.0,1000,1327.524616
1000.0,1000,1332.458617
1000.0,1000,1337.41667
1000.0,1000,1342.348676
1000.0,1000,1347.262307
1000.0,1000,1352.219537
90.0,90,1352.351459
1000.0,1000,1357.740077
1000.0,1000,1362.693479
155.0,155,1362.915371
1000.0,1000,1367.85068
103.0,103,1367.995279
1000.0,1000,1372.923671
1000.0,1000,1377.89855
1000.0,1000,1382.893305
100.0,100,1383.035211
1000.0,1000,1388.024447
1000.0,1000,1392.993729
1000.0,1000,1397.944223
1000.0,1000,1403.35751
65.0,65,1403.45244
86.0,86,1403.575369
293.0,293,1408.147759
62.0,62,1408.247702
108.0,108,1408.422618
1000.0,1000,1414.981859
1000.0,1000,1420.546735
1000.0,1000,1426.146919
1000.0,1000,1431.655712
1000.0,1000,1437.263289
1000.0,1000,1442.876768
1000.0,1000,1448.680492
1000.0,1000,1454.270532
222.0,222,1454.62033
1000.0,1000,1460.128196
1000.0,1000,1465.736701
1000.0,1000,1470.62634
1000.0,1000,1475.557364
1000.0,1000,1480.531918
1000.0,1000,1485.487274
1000.0,1000,1490.428035
1000.0,1000,1495.372774
1000.0,1000,1500.913136
1000.0,1000,1506.206616
66.0,66,1506.30056
1000.0,1000,1511.19348
1000.0,1000,1516.628362
1000.0,1000,1521.678497
1000.0,1000,1526.569386
1000.0,1000,1531.464571
254.0,254,1531.83324
1000.0,1000,1536.900917
1000.0,1000,1542.62406
1000.0,1000,1547.938045
1000.0,1000,1552.872227
1000.0,1000,1557.847733
107.0,107,1561.53861
1000.0,1000,1567.009292
122.0,122,1567.181193
1000.0,1000,1572.099403
1000.0,1000,1577.056557
98.0,98,1577.197521
154.0,154,1577.407399
91.0,91,1577.532326
87.0,87,1577.652275
121.0,121,1577.826163
144.0,144,1578.02405
158.0,158,1578.236924
101.0,101,1581.936753
99.0,99,1582.076656
138.0,138,1582.269544
1000.0,1000,1587.233507
55.0,55,1587.313457
101.0,101,1587.458375
99.0,99,1587.5863
106.0,106,1587.73322
115.0,115,1587.896128
317.0,317,1591.874287
101.0,101,1592.014224
109.0,109,1592.169119
52.0,52,1592.242094
107.0,107,1592.394988
103.0,103,1592.542922
79.0,79,1592.660836
88.0,88,1592.782786
1000.0,1000,1597.72809
112.0,112,1597.890002
144.0,144,1601.627702
1000.0,1000,1606.579848
166.0,166,1606.822435
96.0,96,1606.967351
103.0,103,1607.126273
619.0,619,1611.523907
179.0,179,1611.772727
66.0,66,1611.86767
1000.0,1000,1617.327233
102.0,102,1617.471151
1000.0,1000,1622.432246
173.0,173,1622.671126
1000.0,1000,1627.616532
1000.0,1000,1632.574661
106.0,106,1632.722581
1000.0,1000,1637.673441
1000.0,1000,1642.623469
1000.0,1000,1647.546249
1000.0,1000,1652.463069
1000.0,1000,1657.412233
1000.0,1000,1663.890972
1000.0,1000,1670.459223
1000.0,1000,1675.777186
1000.0,1000,1680.762609
167.0,167,1680.993479
1000.0,1000,1686.061259
1000.0,1000,1690.988129
1000.0,1000,1695.927154
1000.0,1000,1700.881159
1000.0,1000,1705.86043
1000.0,1000,1710.828877
1000.0,1000,1715.783517
1000.0,1000,1721.424187
1000.0,1000,1726.391501
1000.0,1000,1731.336275
1000.0,1000,1736.306465
1000.0,1000,1741.270846
1000.0,1000,1746.253204
1000.0,1000,1751.218698
1000.0,1000,1756.16385
1000.0,1000,1761.104761
1000.0,1000,1766.082532
1000.0,1000,1771.636366
1000.0,1000,1776.599532
1000.0,1000,1781.554707
1000.0,1000,1786.547868
1000.0,1000,1791.534209
1000.0,1000,1796.503815
1000.0,1000,1801.470599
1000.0,1000,1806.450532
1000.0,1000,1811.425674
1000.0,1000,1816.39152
1000.0,1000,1821.982816
1000.0,1000,1826.945998
1000.0,1000,1831.899158
1000.0,1000,1836.981253
1000.0,1000,1841.962428
1000.0,1000,1847.059502
1000.0,1000,1852.021668
65.0,65,1852.114633
1000.0,1000,1857.103423
53.0,53,1857.179379
1000.0,1000,1862.135551
1000.0,1000,1867.088269
1000.0,1000,1872.740719
57.0,57,1872.823668
98.0,98,1876.513562
1000.0,1000,1881.492083
1000.0,1000,1886.452772
187.0,187,1886.722603
1000.0,1000,1891.674734
1000.0,1000,1896.619916
97.0,97,1896.757837
129.0,129,1896.941728
1000.0,1000,1901.903914
105.0,105,1902.048813
45.0,45,1902.116778
98.0,98,1902.257698
248.0,248,1902.597501
96.0,96,1906.580227
1000.0,1000,1911.666922
101.0,101,1911.805856
70.0,70,1911.905802
103.0,103,1912.051702
1000.0,1000,1917.130808
1000.0,1000,1922.682631
1000.0,1000,1927.642879
1000.0,1000,1932.59705
1000.0,1000,1937.567368
1000.0,1000,1942.518559
1000.0,1000,1947.480709
1000.0,1000,1952.450978
1000.0,1000,1957.401722
1000.0,1000,1962.391358
1000.0,1000,1967.402497
1000.0,1000,1973.016854
1000.0,1000,1977.979889
1000.0,1000,1982.957347
1000.0,1000,1987.969428
1000.0,1000,1992.969352
1000.0,1000,1997.94351
1000.0,1000,2003.653769
1000.0,1000,2009.479086
1000.0,1000,2015.18183
1000.0,1000,2021.0227
1000.0,1000,2027.478274
1000.0,1000,2033.16383
1000.0,1000,2038.786159
1000.0,1000,2044.441819
1000.0,1000,2050.111017
1000.0,1000,2055.79094
1000.0,1000,2061.460052
1000.0,1000,2067.192467
1000.0,1000,2072.82661
1000.0,1000,2078.506333
1000.0,1000,2084.977878
1000.0,1000,2090.766651
1000.0,1000,2096.460874
1000.0,1000,2102.126392
1000.0,1000,2107.74581
1000.0,1000,2113.482849
1000.0,1000,2119.187401
1000.0,1000,2124.882462
1000.0,1000,2130.529515
1000.0,1000,2136.162317
1000.0,1000,2142.678519
1000.0,1000,2149.559106
1000.0,1000,2155.307013
1000.0,1000,2161.069724
1000.0,1000,2166.734201
1000.0,1000,2172.365477
1000.0,1000,2178.047223
1000.0,1000,2183.707881
1000.0,1000,2189.391187
1000.0,1000,2195.107317
1000.0,1000,2201.588955
1000.0,1000,2207.581534
1000.0,1000,2213.509153
1000.0,1000,2219.222979
1000.0,1000,2224.345526
1000.0,1000,2229.290704
1000.0,1000,2234.231602
1000.0,1000,2239.205278
1000.0,1000,2244.215321
1000.0,1000,2249.268455
1000.0,1000,2254.960236
82.0,82,2255.07717
1000.0,1000,2260.092341
1000.0,1000,2265.081495
1000.0,1000,2270.051746
1000.0,1000,2275.032632
1000.0,1000,2280.013809
1000.0,1000,2285.026053
78.0,78,2285.137989
1000.0,1000,2290.115252
1000.0,1000,2295.094214
1000.0,1000,2300.10001
1000.0,1000,2305.828501
1000.0,1000,2310.809843
1000.0,1000,2315.818226
1000.0,1000,2320.823388
1000.0,1000,2325.818908
1000.0,1000,2330.786167
1000.0,1000,2335.777812
1000.0,1000,2340.7829
1000.0,1000,2345.772045
1000.0,1000,2350.829614
1000.0,1000,2356.581233
1000.0,1000,2361.572992
1000.0,1000,2366.562144
1000.0,1000,2371.550147
1000.0,1000,2376.583515
1000.0,1000,2381.576789
1000.0,1000,2386.588641
1000.0,1000,2391.571896
1000.0,1000,2396.564354
1000.0,1000,2401.609344
1000.0,1000,2408.704878
1000.0,1000,2414.013204
1000.0,1000,2419.973036
1000.0,1000,2425.292938
1000.0,1000,2430.395303
1000.0,1000,2436.243589
1000.0,1000,2442.845819
1000.0,1000,2447.954903
1000.0,1000,2454.08047
1000.0,1000,2459.641277
1000.0,1000,2466.26434
1000.0,1000,2471.408491
1000.0,1000,2477.695903
1000.0,1000,2483.071331
1000.0,1000,2489.316921
1000.0,1000,2494.765403
1000.0,1000,2500.623775
1000.0,1000,2508.803107
1000.0,1000,2515.542943
1000.0,1000,2525.130472
1000.0,1000,2537.231564
1000.0,1000,2546.287393
1000.0,1000,2553.386767
1000.0,1000,2559.397335
1000.0,1000,2564.529056
1000.0,1000,2569.54405
1000.0,1000,2574.746479
1000.0,1000,2579.880531
1000.0,1000,2585.085363
1000.0,1000,2590.099188
1000.0,1000,2596.011901
1000.0,1000,2601.256908
1000.0,1000,2606.301404
1000.0,1000,2611.580955
1000.0,1000,2616.842019
1000.0,1000,2621.834399
1000.0,1000,2626.923913
1000.0,1000,2631.922056
1000.0,1000,2637.057238
1000.0,1000,2642.043491
1000.0,1000,2647.922854
182.0,182,2648.215671
1000.0,1000,2653.999339
1000.0,1000,2660.478066
1000.0,1000,2666.401684
1000.0,1000,2673.601574
1000.0,1000,2679.368944
1000.0,1000,2684.73288
1000.0,1000,2690.705369
1000.0,1000,2695.893214
1000.0,1000,2701.415911
1000.0,1000,2707.928985
1000.0,1000,2713.500232
1000.0,1000,2718.962793
1000.0,1000,2724.135969
1000.0,1000,2729.56857
1000.0,1000,2734.766621
1000.0,1000,2739.897661
1000.0,1000,2745.207517
1000.0,1000,2751.052226
119.0,119,2751.224131
1000.0,1000,2756.50658
1000.0,1000,2762.467199
1000.0,1000,2768.947079
1000.0,1000,2775.412015
1000.0,1000,2781.288657
1000.0,1000,2786.426389
1000.0,1000,2791.411563
1000.0,1000,2796.401896
1000.0,1000,2801.353988
1000.0,1000,2806.368942
1000.0,1000,2811.642016
1000.0,1000,2817.627766
1000.0,1000,2822.624741
1000.0,1000,2827.620885
1000.0,1000,2832.614035
1000.0,1000,2837.687945
1000.0,1000,2842.715483
1000.0,1000,2847.751998
1000.0,1000,2852.78187
200.0,200,2856.649658
1000.0,1000,2861.588858
1000.0,1000,2867.483544
1000.0,1000,2872.505975
1000.0,1000,2877.557104
1000.0,1000,2882.600702
1000.0,1000,2887.617205
1000.0,1000,2892.648533
1000.0,1000,2897.679392
1000.0,1000,2902.701995
1000.0,1000,2907.682858
1000.0,1000,2912.679971
109.0,109,2912.832865
1000.0,1000,2918.740916
1000.0,1000,2923.782967
1000.0,1000,2928.763454
1000.0,1000,2933.777593
1000.0,1000,2938.775738
1000.0,1000,2943.795924
1000.0,1000,2948.818392
1000.0,1000,2953.905219
218.0,218,2954.203998
1000.0,1000,2959.228695
1000.0,1000,2964.253101
1000.0,1000,2970.228204
1000.0,1000,2975.238345
1000.0,1000,2980.248503
1000.0,1000,2985.301984
1000.0,1000,2990.302458
1000.0,1000,2995.344576
1000.0,1000,3000.382321
1000.0,1000,3005.414608
1000.0,1000,3010.442389
1000.0,1000,3015.451602
1000.0,1000,3021.438667
1000.0,1000,3026.833219
1000.0,1000,3031.873782
1000.0,1000,3037.005224
1000.0,1000,3042.114306
1000.0,1000,3047.168816
94.0,94,3047.309754
1000.0,1000,3052.315559
1000.0,1000,3057.348424
1000.0,1000,3062.363576
1000.0,1000,3067.406106
1000.0,1000,3073.399668
1000.0,1000,3078.425581
1000.0,1000,3083.452272
1000.0,1000,3088.836577
128.0,128,3089.014489
1000.0,1000,3094.101194
1000.0,1000,3099.104709
1000.0,1000,3104.128705
1000.0,1000,3109.232793
1000.0,1000,3114.242418
1000.0,1000,3119.252852
1000.0,1000,3125.235706
1000.0,1000,3130.270582
1000.0,1000,3135.288801
1000.0,1000,3140.304215
1000.0,1000,3145.291383
1000.0,1000,3150.301586
1000.0,1000,3155.362144
111.0,111,3155.525068
1000.0,1000,3160.848599
1000.0,1000,3165.987648
1000.0,1000,3171.757354
1000.0,1000,3177.971551
1000.0,1000,3182.970713
76.0,76,3183.084636
1000.0,1000,3188.063908
1000.0,1000,3193.05962
1000.0,1000,3198.032228
1000.0,1000,3203.005389
1000.0,1000,3208.344457
58.0,58,3208.425408
1000.0,1000,3213.640087
1000.0,1000,3219.322206
1000.0,1000,3224.64297
1000.0,1000,3230.689554
1000.0,1000,3235.790638
63.0,63,3235.878591
1000.0,1000,3240.889911
1000.0,1000,3245.920042
1000.0,1000,3251.286656
1000.0,1000,3256.405444
1000.0,1000,3261.406634
1000.0,1000,3266.441455
67.0,67,3266.538402
1000.0,1000,3271.584743
1000.0,1000,3276.68017
1000.0,1000,3282.73985
1000.0,1000,3287.781618
1000.0,1000,3292.77377
1000.0,1000,3297.75553
1000.0,1000,3302.916778
1000.0,1000,3307.955638
1000.0,1000,3313.318592
1000.0,1000,3318.376449
1000.0,1000,3323.852551
1000.0,1000,3330.248334
1000.0,1000,3337.128996
1000.0,1000,3342.746269
1000.0,1000,3348.409271
1000.0,1000,3353.901143
1000.0,1000,3365.210671
188.0,188,3370.112874
1000.0,1000,3377.241805
1000.0,1000,3382.952466
1000.0,1000,3388.552682
1000.0,1000,3393.951554
1000.0,1000,3400.224658
1000.0,1000,3405.336399
1000.0,1000,3410.455477
122.0,122,3410.626384
1000.0,1000,3416.344533
1000.0,1000,3421.775631
1000.0,1000,3427.200738
1000.0,1000,3432.277066
1000.0,1000,3437.475581
258.0,258,3437.867912
1000.0,1000,3443.453882
89.0,89,3443.613775
1000.0,1000,3449.307522
70.0,70,3449.412462
1000.0,1000,3455.713865
