Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1544692198.3213236	0	-4219.859186637657	195.9531805515085	-3937.9917027557212	-4567.0190830954525	1000.0	0.0	6000	6000
1544692201.352448	1	-4228.855903621071	197.26113269319518	-3957.6496504399297	-4538.902749544675	1000.0	0.0	6000	12000
1544692204.3137233	2	-4273.595246330985	273.06268495738163	-3671.204480455538	-4477.901408639058	1000.0	0.0	6000	18000
1544692207.5642328	3	-4136.038792533421	178.96482870170036	-3834.3399996270937	-4347.8696700158225	1000.0	0.0	6000	24000
1544692210.3722556	4	-4164.408193941149	287.13750881950403	-3744.9858661418793	-4580.724651298071	1000.0	0.0	6000	30000
1544692213.186754	5	-4222.673676916291	230.7177733960593	-3927.5781299673886	-4692.151348053054	1000.0	0.0	6000	36000
1544692216.174542	6	-4028.228404639987	187.5256895096338	-3741.933238500757	-4270.493065978779	1000.0	0.0	6000	42000
1544692219.3187113	7	-4274.005239993539	219.45701317756934	-3946.6298726571026	-4632.175229114508	1000.0	0.0	6000	48000
1544692222.3175352	8	-4172.055647415862	101.381695547705	-4016.9061524007993	-4322.887294369451	1000.0	0.0	6000	54000
1544692225.2716882	9	-4035.8172681946867	164.20736413765113	-3834.3194921543327	-4307.8948488670285	1000.0	0.0	6000	60000
1544692228.4431949	10	-4070.6968885459687	96.848166290602	-3959.240780788138	-4225.826724974166	1000.0	0.0	6000	66000
1544692231.60321	11	-4022.6840311216433	116.67342852357747	-3850.317985422099	-4231.667082033221	1000.0	0.0	6000	72000
1544692234.8481848	12	-3827.6544661300613	146.29148546420927	-3617.502785439564	-4040.752386631164	1000.0	0.0	6000	78000
1544692238.0753195	13	-3955.97530911757	240.782412918256	-3660.7328714853084	-4279.781557838725	1000.0	0.0	6000	84000
1544692241.1560764	14	-3975.140021168816	207.64095881134054	-3753.002474079759	-4353.056290774553	1000.0	0.0	6000	90000
