Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
14.033159255981445	0	-3973.9820402041946	139.89325069554155	-3728.490345185337	-4167.482732704213	1000.0	0.0	6000	6000
16.367288827896118	1	-4160.988964851712	173.24754539344016	-3893.1453620439215	-4349.502518481617	1000.0	0.0	6000	12000
18.770788192749023	2	-4154.786639953853	281.74959438998883	-3685.1943345214695	-4605.109493415597	1000.0	0.0	6000	18000
21.087905883789062	3	-4244.736872820938	117.14718044640959	-3985.7278741710115	-4330.968739689527	1000.0	0.0	6000	24000
23.46722650527954	4	-4079.6459900912137	246.52116349090224	-3639.785168653042	-4380.588688146601	1000.0	0.0	6000	30000
25.771079063415527	5	-4249.643883287336	245.37213357534196	-3816.5656293585025	-4513.896701425183	1000.0	0.0	6000	36000
28.152276039123535	6	-4354.426294417081	186.96573941220348	-4126.342259273461	-4651.129453399061	1000.0	0.0	6000	42000
30.54688000679016	7	-4256.891371524776	180.70428474866347	-3943.026010402524	-4531.07550145853	1000.0	0.0	6000	48000
32.90845322608948	8	-4211.5854551822285	148.7894940912046	-3925.2329761673636	-4373.401835897743	1000.0	0.0	6000	54000
35.281952142715454	9	-4122.762070031761	100.85818025198229	-3930.7566999380456	-4255.298138007753	1000.0	0.0	6000	60000
37.65696716308594	10	-4169.480039346235	148.5261386995576	-3969.051021328885	-4373.920472043388	1000.0	0.0	6000	66000
40.02099919319153	11	-4188.943240200155	236.14595953672145	-3879.0200920899683	-4474.877831336629	1000.0	0.0	6000	72000
42.346097230911255	12	-4198.466575105747	209.4407179918859	-3969.883887786389	-4586.361201968453	1000.0	0.0	6000	78000
44.74987769126892	13	-4035.809628334145	136.38690265369286	-3833.1819334837705	-4193.793445100344	1000.0	0.0	6000	84000
47.11642098426819	14	-4028.884938523428	212.68170007004755	-3712.4046814897574	-4336.215346260873	1000.0	0.0	6000	90000
49.553446531295776	15	-3953.690267712685	249.551354026674	-3699.6985374806436	-4379.464373022695	1000.0	0.0	6000	96000
51.984448194503784	16	-4154.351608586262	292.89715156843897	-3836.982871457483	-4590.693236544588	1000.0	0.0	6000	102000
54.35461664199829	17	-3918.393236462914	250.21077297494736	-3486.740850018893	-4189.711925694894	1000.0	0.0	6000	108000
56.76972794532776	18	-3958.2612061014206	132.16538020754905	-3769.705968639685	-4092.3623929338555	1000.0	0.0	6000	114000
59.10954165458679	19	-3764.2681898947344	180.05280755699684	-3600.608853667937	-4035.0345500760423	1000.0	0.0	6000	120000
61.4129741191864	20	-3924.6028878562743	170.22984615707736	-3648.722656294281	-4144.279887097513	1000.0	0.0	6000	126000
63.754162549972534	21	-3981.1895811912946	188.3532223301062	-3643.817455571224	-4228.424118734736	1000.0	0.0	6000	132000
66.26520299911499	22	-3858.2229860246757	104.53121063711568	-3750.581717436885	-4079.1846778527283	1000.0	0.0	6000	138000
68.62926816940308	23	-3878.651208132469	175.1107315581274	-3679.8786343940187	-4141.344246816401	1000.0	0.0	6000	144000
71.00695466995239	24	-3944.1206968810257	242.69266430728572	-3651.1812301448726	-4239.35562991886	1000.0	0.0	6000	150000
73.40017557144165	25	-3912.1259812684452	260.90894441904794	-3577.601634722764	-4443.02111803106	1000.0	0.0	6000	156000
75.73276829719543	26	-3753.8976904316387	144.3203410827799	-3527.5928292667327	-3992.0695119692086	1000.0	0.0	6000	162000
78.20386123657227	27	-3777.7480569296386	208.19581458656157	-3474.1289941987948	-4026.7167598636706	1000.0	0.0	6000	168000
80.58059048652649	28	-3781.298246087714	280.5456129077598	-3441.9944713388472	-4182.954493573526	1000.0	0.0	6000	174000
82.93065524101257	29	-3768.2884839245694	94.33654975269847	-3617.979848830484	-3895.434586074451	1000.0	0.0	6000	180000
