reference_perturbed_action_mean,rollout/actions_mean,total/episodes,reference_action_mean,total/duration,obs_rms_mean,param_noise_stddev,obs_rms_std,reference_action_std,total/epochs,reference_perturbed_action_std,reference_Q_std,total/steps_per_second,rollout/episodes,rollout/return,reference_actor_Q_std,train/loss_actor,reference_actor_Q_mean,train/param_noise_distance,rollout/Q_mean,reference_Q_mean,total/steps,rollout/actions_std,train/loss_critic,rollout/return_history,rollout/episode_steps
0.038775503635406494,0.01788894459605217,680.0,0.08713007718324661,63.51613140106201,0.010141659528017044,0.1639088940674591,0.5456534028053284,0.6120764017105103,1,0.6014139652252197,1.8995531797409058,157.44031916642828,680.0,7.8,1.393157720565796,-8.977816581726074,9.543996810913086,0.6505785286426544,4.510863304138184,8.902101516723633,10000,0.5926336050033569,1.3713510036468506,7.8,14.670588235294117
0.1540476381778717,0.011687376536428928,1039.0,0.2388475239276886,115.00241827964783,0.008378170430660248,0.13433062777208762,0.5020648837089539,0.5367137789726257,2,0.7909133434295654,4.568149089813232,173.90938642148043,1039.0,29.2,2.6442182064056396,-19.856449127197266,20.15338897705078,1.1971572041511536,9.555563926696777,18.389394760131836,20000,0.5299915075302124,6.224279880523682,29.2,19.231953801732434
0.24138304591178894,0.010222475044429302,1229.0,0.017600733786821365,165.95806789398193,0.010198005475103855,0.11230273064362171,0.47752758860588074,0.5647250413894653,3,0.7687577605247498,8.483428955078125,180.76855425410673,1229.0,35.4,5.619450092315674,-31.087482452392578,31.501089096069336,0.7620578706264496,15.03995418548584,28.304214477539062,30000,0.5193683505058289,14.692636489868164,35.4,24.379983726606998
0.34420210123062134,0.01012749969959259,1390.0,0.005352464038878679,217.04001092910767,0.011696490459144115,0.09203708190275892,0.4707094430923462,0.6055726408958435,4,0.9150365591049194,10.720376968383789,184.29781600529546,1390.0,72.0,7.051198959350586,-42.036415100097656,43.36350631713867,0.38960903882980347,20.529699325561523,39.129241943359375,40000,0.5224284529685974,24.265682220458984,72.0,28.718705035971222
0.2261611819267273,0.008251812309026718,1547.0,-0.08916148543357849,268.64745235443115,0.008862696588039398,0.08167823703026889,0.4655628800392151,0.6898831725120544,5,0.7190718650817871,13.734237670898438,186.1175289838005,1547.0,29.4,9.8858003616333,-53.919761657714844,55.606014251708984,0.2491270899772644,26.052465438842773,50.22010803222656,50000,0.5211924910545349,34.525123596191406,29.4,32.28894634776988
0.0011361795477569103,0.007836715318262577,1633.0,-0.02817632257938385,320.65246391296387,0.01088197622448206,0.06965693719894053,0.46303755044937134,0.8255108594894409,6,0.6787186861038208,18.546289443969727,187.11847483662584,1633.0,75.9,15.509819984436035,-62.67759323120117,69.10221862792969,0.41195060312747955,31.412168502807617,61.77045440673828,60000,0.5333900451660156,41.732276916503906,75.9,36.45437844458053
0.0312914103269577,0.007139289285987616,1704.0,0.0803566575050354,372.84101247787476,0.01269877515733242,0.060598955937205407,0.4590030908584595,0.692533552646637,7,0.41095319390296936,26.39959144592285,187.74758585377987,1704.0,241.8,24.81838607788086,-72.032958984375,79.59888458251953,0.23814167827367783,36.995906829833984,72.08953857421875,70000,0.5403507947921753,66.24351501464844,241.8,40.96948356807512
0.1585635542869568,0.006184970494359732,1729.0,0.11523585021495819,423.3670120239258,0.012372367084026337,0.05940491710342653,0.4590602517127991,0.7082431316375732,8,0.5526540279388428,29.777767181396484,188.96134495117195,1729.0,390.1,26.501150131225586,-81.62184143066406,92.891845703125,0.3359004035592079,42.8622932434082,83.20584106445312,80000,0.5616413950920105,63.453330993652344,390.1,46.19491035280509
-0.22984525561332703,0.005502421874552965,1740.0,0.08018675446510315,475.98136162757874,0.007568509317934513,0.05823440555183466,0.4522457718849182,0.582159698009491,9,0.4074833393096924,36.00237274169922,189.08303403362785,1740.0,900.7,31.057266235351562,-91.82127380371094,101.34207153320312,0.2686578035354614,48.95576477050781,90.4580078125,90000,0.5684999227523804,59.67744827270508,900.7,51.654022988505744
-0.051255304366350174,0.004958074539899826,1750.0,-0.1205117255449295,528.2968809604645,0.009461642242968082,0.05377849649835011,0.4408034086227417,0.618092954158783,10,0.4824466109275818,37.12480163574219,189.28750784633834,1750.0,1000.0,31.16946029663086,-108.19288635253906,114.17303466796875,0.27293264865875244,55.71613311767578,101.31730651855469,100000,0.5645707845687866,68.31459045410156,1000.0,57.073142857142855
0.019205041229724884,0.004508468322455883,1760.0,-0.08407559990882874,579.5493335723877,0.01210085116326809,0.057086957702023974,0.4337196946144104,0.6380321979522705,11,0.6821441054344177,37.85689926147461,189.80265117716786,1760.0,1000.0,30.962730407714844,-120.13349914550781,126.30671691894531,0.3183814734220505,61.988975524902344,113.49545288085938,110000,0.5576710104942322,77.49113464355469,1000.0,62.43068181818182
